"Woonplaatsen in Nederland 2018"
""
"";"Onderwerp"
"";"Gemeente|Naam ";"Gemeente|Code ";"Provincie|Naam";"Provincie|Code";"Landsdeel|Naam";"Landsdeel|Code"
"Lopik";"Lopik";"GM0331";"Utrecht";"PV26";"West-Nederland";"LD03"
"Lopikerkapel";"Lopik";"GM0331";"Utrecht";"PV26";"West-Nederland";"LD03"
"Loppersum";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Losdorp";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Losser";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Lottum";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Lucaswolde";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Luddeweer";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Luinjeberd";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Lunteren";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Lutjebroek";"StedeBroec";"GM0532";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Lutjegast";"Grootegast";"GM0015";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Lutjewinkel";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"de Lutte";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Luttelgeest";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Lutten";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Luttenberg";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Luxwoude";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Luyksgestel";"Bergeijk";"GM1724";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Lytsewierrum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Maarheeze";"Cranendonck";"GM1706";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Maarn";"UtrechtseHeuvelrug";"GM1581";"Utrecht";"PV26";"West-Nederland";"LD03"
"Maarsbergen";"UtrechtseHeuvelrug";"GM1581";"Utrecht";"PV26";"West-Nederland";"LD03"
"Maarssen";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Maartensdijk";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Maasbommel";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Maasbracht";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasbree";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasdam";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maasdijk";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maashees";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Maasland";"Midden-Delfland";"GM1842";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maassluis";"Maassluis";"GM0556";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maastricht";"Maastricht";"GM0935";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maastricht-Airport";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasvlakte Rotterdam";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Macharen";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Made";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Makkinga";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Makkum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Malden";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Mander";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Manderveen";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mantgum";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mantinge";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Maren-Kessel";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Margraten";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maria Hoop";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mariahout";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mariaparochie";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënberg";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënheem";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënvelde";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Marijenkampen";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Markelo";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Marken";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Markenbinnen";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Marknesse";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Marle";"Olst-Wijhe";"GM1773";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Marrum";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Marsum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Marum";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Marwijksoord";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Mastenbroek";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mastenbroek";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Matsloot";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Maurik";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Mechelen";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Medemblik";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Meeden";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meedhuizen";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meerkerk";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Meerlo";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"De Meern";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Meerssen";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meerstad";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meeuwen";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Megchelen";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Megen";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Meijel";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Melderslo";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Melick";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meliskerke";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Melissant";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Menaam";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mensingeweer";"DeMarne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meppel";"Meppel";"GM0119";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Meppen";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Merkelbeek";"Onderbanken";"GM0881";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Merselo";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meteren";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Meterik";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Metslawier";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mheer";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Middelaar";"MookenMiddelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Middelburg";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Middelharnis";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Middelie";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Middelstum";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Middenbeemster";"Beemster";"GM0370";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Middenmeer";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Midlaren";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Midlum";"Harlingen";"GM0072";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Midsland";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Midwolda";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Midwolde";"Leek";"GM0022";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Midwoud";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Miedum";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mierlo";"Geldrop-Mierlo";"GM1771";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mijdrecht";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Mijnsheerenland";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Mildam";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Milheeze";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mill";"MillenSintHubert";"GM0815";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Millingen aan de Rijn";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Milsbeek";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Minnertsga";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mirns";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Moddergat";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Moer";"LoonopZand";"GM0809";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moerdijk";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moergestel";"Oisterwijk";"GM0824";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moerkapelle";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moerstraten";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Molenaarsgraaf";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Molenhoek";"MookenMiddelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Molenschot";"GilzeenRijen";"GM0784";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Molkwerum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Monnickendam";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Monster";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Montfoort";"Montfoort";"GM0335";"Utrecht";"PV26";"West-Nederland";"LD03"
"Montfort";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mook";"MookenMiddelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mookhoek";"Strijen";"GM0617";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moordrecht";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moorveld";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Morra";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Mortel";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Muiden";"GooiseMeren";"GM1942";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Muiderberg";"GooiseMeren";"GM1942";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Mûnein";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munnekeburen";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munnekezijl";"KollumerlandenNieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munstergeleen";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Muntendam";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Mussel";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Musselkanaal";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Naaldwijk";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Naarden";"GooiseMeren";"GM1942";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nagele";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Nederasselt";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nederhemert";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nederhorst den Berg";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nederland";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nederweert";"Nederweert";"GM0946";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Nederweert-Eind";"Nederweert";"GM0946";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neede";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Neer";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neerijnen";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Neeritter";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neerkant";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Neerlangel";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Neerloon";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nes";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nes";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nes";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Netersel";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Netterden";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Niawier";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nibbixwoud";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Niebert";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niehove";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niekerk";"Grootegast";"GM0015";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niekerk";"DeMarne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nietap";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw Annerveen";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw Beerta";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuw- en Sint Joosland";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw Heeten";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nieuw Namen";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw Scheemda";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwaal";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nieuw-Amsterdam";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Balinge";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Beijerland";"Korendijk";"GM0588";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Buinen";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Dordrecht";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwdorp";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuwe Niedorp";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nieuwe Pekela";"Pekela";"GM0765";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwe Wetering";"KaagenBraassem";"GM1884";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwebrug";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwediep";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwegein";"Nieuwegein";"GM0356";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwehorne";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwendijk";"Werkendam";"GM0870";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuwer Ter Aa";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwerbrug aan den Rijn";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwerkerk";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuwerkerk aan den IJssel";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuweroord";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuweroord";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwersluis";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuweschoot";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwe-Tonge";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwkoop";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwkuijk";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuwland";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwlande";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwlande Coevorden";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Lekkerland";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwleusen";"Dalfsen";"GM0148";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nieuwolda";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwpoort";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Roden";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Schoonebeek";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwstadt";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Nieuwveen";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Vennep";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nieuwvliet";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw-Vossemeer";"Steenbergen";"GM0851";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuw-Weerdinge";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Niezijl";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niftrik";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nigtevecht";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nij Altoenae";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nij Beets";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijbroek";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijeberkoop";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijega";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijehaske";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeholtpade";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeholtwolde";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijelamer";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijemirdum";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijensleek";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijetrijne";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeveen";"Meppel";"GM0119";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijhuizum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijkerk";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijkerkerveen";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijland";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijlande";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijmegen";"Nijmegen";"GM0268";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijverdal";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nispen";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nisse";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nistelrode";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Noardburgum";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nooitgedacht";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noorbeek";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Noordbeemster";"Beemster";"GM0370";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordbroek";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordeinde";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordeinde Gld";"Oldebroek";"GM0269";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Noordeloos";"Giessenlanden";"GM0689";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noorden";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordgouwe";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Noordhoek";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Noordhorn";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordlaren";"Haren";"GM0017";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noord-Scharwoude";"Langedijk";"GM0416";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordscheschut";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noord-Sleen";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noordwelle";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Noordwijk";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordwijk";"Noordwijk";"GM0575";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordwijkerhout";"Noordwijkerhout";"GM0576";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordwolde";"Bedum";"GM0005";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordwolde";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nootdorp";"Pijnacker-Nootdorp";"GM1926";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Norg";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Notter";"Wierden";"GM0189";"Overijssel";"PV23";"Oost-Nederland";"LD02"
